Média (pesos);RC;Área Aberta;Vegetação Secundária;BR 163;Proximidade a área urbana;Estradas vicinais;Tamanho dos imóveis;Imóveis certificados;Declividade;Rios ;Assentamento;Embargo;Floresta;Unidade de Conservação;Terra Indígena;;;
894;0,098925928;0,199344718;0,148450526;0,152084743;0,090064245;0,082885759;0,079179505;0,068403392;0,047677369;0,043036559;0,03085362;0,024151886;0,014645844;0,010520663;0,008701172;;;
415;0,098922771;0,201815384;0,136521832;0,150019292;0,098387046;0,087169161;0,073371339;0,07136122;0,046005324;0,04413546;0,031453315;0,025132147;0,014536929;0,011252361;0,008839189;;;
510;0,098900059;0,199462021;0,139910415;0,152511059;0,099758029;0,083664474;0,077102484;0,067022288;0,046232602;0,043424248;0,030834264;0,024589354;0,015205145;0,011360759;0,008922856;;;
715;0,098862672;0,194750706;0,153167106;0,139925739;0,098594945;0,085035695;0,081307776;0,066015303;0,046756573;0,042538693;0,032110231;0,024587643;0,015091318;0,011248331;0,008869941;;;
367;0,09884285;0,205734155;0,141458687;0,144543703;0,095687501;0,093313924;0,069726596;0,068452231;0,045422387;0,045392511;0,030166763;0,025212889;0,014853401;0,011146346;0,008888907;;;
865;0,098838043;0,207789051;0,139579316;0,151700035;0,095445423;0,085030266;0,074826428;0,066248073;0,045233763;0,043014939;0,030577589;0,024959683;0,015593806;0,011329772;0,008671857;;;
784;0,098830113;0,206550853;0,139876736;0,154081717;0,092656267;0,086104991;0,073766604;0,06769113;0,044184585;0,043902971;0,031724258;0,02471883;0,015209096;0,010690839;0,008841124;;;
254;0,098826062;0,197086599;0,140568852;0,144249342;0,102094458;0,095596022;0,072720638;0,067388447;0,044317579;0,04538717;0,031197942;0,024976579;0,015152437;0,010516343;0,008747592;;;
45;0,098803314;0,200684809;0,150338684;0,140642538;0,095182879;0,085841484;0,080225512;0,066998109;0,045909261;0,043378587;0,03128589;0,024903382;0,015192947;0,010887455;0,008528461;;;
51;0,098783218;0,198473371;0,14534482;0,143546724;0,106039866;0,084981336;0,069512722;0,070386461;0,044005555;0,0450466;0,032382646;0,024972814;0,015177058;0,011215291;0,008914735;;;
344;0,098778053;0,208287046;0,143611871;0,139563179;0,104254518;0,084809361;0,072083739;0,065714569;0,045927223;0,04462859;0,030897309;0,025365063;0,015049987;0,011049034;0,008758512;;;
508;0,098754645;0,206001654;0,14587688;0,140173203;0,095668741;0,09358288;0,073580305;0,064085112;0,045050014;0,044958801;0,031038996;0,024963773;0,015553642;0,010606346;0,008859653;;;
213;0,098745104;0,199323008;0,150547045;0,141772087;0,100501075;0,088413702;0,071587189;0,067714928;0,044593228;0,043470147;0,032226797;0,024327761;0,014977046;0,01161911;0,008926878;;;
381;0,098735078;0,196293405;0,150697371;0,144481667;0,093598388;0,090311087;0,079159148;0,066245793;0,043280382;0,044501693;0,031463191;0,025268635;0,014625168;0,01123445;0,008839621;;;
343;0,098727229;0,198754943;0,137540922;0,153385709;0,095713904;0,088006118;0,080186884;0,065977042;0,046750743;0,043245349;0,03009124;0,025693488;0,015058829;0,010856906;0,008737924;;;
408;0,098722443;0,204366967;0,152453218;0,138110611;0,103973765;0,080242558;0,072685418;0,066532819;0,046406316;0,04323516;0,031803079;0,025112256;0,015100839;0,011076304;0,008900688;;;
931;0,098716306;0,198633284;0,142733724;0,153638853;0,097683093;0,082249399;0,074125726;0,070042544;0,044655064;0,045118402;0,030542471;0,025766535;0,01517193;0,010691519;0,008947457;;;
115;0,098693903;0,200216498;0,144716137;0,142246549;0,098708222;0,089509055;0,079113292;0,06508132;0,046204784;0,043498879;0,031308012;0,024878548;0,014986055;0,010611628;0,00892102;;;
481;0,098664422;0,20748777;0,14872503;0,13932905;0,099502396;0,090406626;0,067514078;0,065515955;0,045880004;0,042554401;0,032603391;0,025399758;0,015353233;0,010759309;0,008969;;;
265;0,098640715;0,187175559;0,15042577;0,152393427;0,104154668;0,088885482;0,07047403;0,066371528;0,045482241;0,043128689;0,031641525;0,025078105;0,015065795;0,010984771;0,008738408;;;
476;0,098630153;0,206403099;0,137632134;0,154158302;0,096663263;0,084873647;0,07703737;0,064737274;0,04541112;0,042287328;0,031369499;0,02445285;0,01534483;0,011024596;0,008604687;;;
607;0,098612647;0,203505481;0,147004282;0,140072917;0,096073521;0,091559621;0,07799398;0,064015128;0,045983704;0,043270265;0,03156473;0,02467543;0,014645078;0,010948686;0,008687177;;;
918;0,098612595;0,190928733;0,145893873;0,146704609;0,103827221;0,084866733;0,080581013;0,066808218;0,045481128;0,043328556;0,031872694;0,023759722;0,015759363;0,011318513;0,008869624;;;
215;0,098600306;0,204007928;0,144963775;0,142520962;0,099874364;0,091333;0,070158848;0,069066224;0,045723785;0,042434711;0,030723987;0,024765298;0,015029393;0,010829466;0,008568259;;;
295;0,098569361;0,201730606;0,147077996;0,146827001;0,093216661;0,091394503;0,076148803;0,061725888;0,044868279;0,045387596;0,031341734;0,025499088;0,014890256;0,011107426;0,008784162;;;
52;0,098568387;0,208810889;0,145233905;0,139296241;0,101140694;0,08697293;0,072234853;0,064824694;0,046898086;0,044105364;0,030526345;0,024889785;0,015438153;0,01098193;0,008646132;;;
